"riasecCategory","hollandCode","occupation","educationLevel"
"R","RAC","Lithographer","3"
"R","RAE","Jeweler","3"
"R","RAE","Signwriter","3"
"R","RAE","Woodcarver","3"
"R","RCA","Diamond sawyer/cutter/crossworker/brilliandeer","3"
"R","RCE","Artifical resin worker","1"
"R","RCE","Billet provider","1"
"R","RCE","Gravure machine minder","3"
"R","RCE","Joiner","3"
"R","RCE","Letterpress machine minder","3"
"R","RCE","Locksmith","1"
"R","RCE","Miner","1"
"R","RCE","Model-builder (TV)","3"
"R","RCE","Painter and decorator","3"
"R","RCE","Panel beater","3"
"R","RCE","Pattern maker","3"
"R","RCE","Printer's warehousing (including cutting) worker","3"
"R","RCE","Rotary machine minder","3"
"R","RCE","Saw machine operator","1"
"R","RCE","Sheetmetal worker","3"
"R","RCE","Spray-painter","3"
"R","RCE","Steriotyper","3"
"R","RCE","Wall and floor tiler","3"
"R","RCI","Blacksmith","3"
"R","RCI","Bookbinder","3"
"R","RCI","Coppersmith","3"
"R","RCI","Crane operator","1"
"R","RCI","Furniture machinist","3"
"R","RCI","Furniture polisher","3"
"R","RCI","Furniture upholsterer","3"
"R","RCI","Leather tradesman","3"
"R","RCI","Moulder","3"
"R","RCI","Optical techinician","3"
"R","RCI","Photograve engraver","3"
"R","RCI","Plasterer","3"
"R","RCI","Plastics and fibreglass worker","3"
"R","RCI","Plumber","3"
"R","RCI","Power plant operator","1"
"R","RCI","Process engraver/Blockmaker","3"
"R","RCI","Rigger","3"
"R","RCI","Sailmaker and upholster","3"
"R","RCI","Sewing machine operator","1"
"R","RCI","Stonemason","3"
"R","RCI","Watchmaker","3"
"R","RCI","Welder ","3"
"R","RCS","Piano tuner","3"
"R","RES","Bus driver","1"
"R","RES","Caterer","3"
"R","RES","Chef","3"
"R","REC","Furrier (fur designer)","3"
"R","REC","Miller","3"
"R","RIA","Pholithographer","3"
"R","RIA","Scientific glass blower","3"
"R","RIA","Theatre techinician","4"
"R","RIC","Tool designer","4"
"R","RIE","Agricultural engineer","4"
"R","RIE","Agricultural technician","4"
"R","RIE","Air traffic controller","3"
"R","RIE","Aircraft instrument mechanician","3"
"R","RIE","Aircraft maintenance mechanic","3"
"R","RIE","Aircraft radar/radiotrician","3"
"R","RIE","Aircraft sheetmetal worker","3"
"R","RIE","Airline pilot","3"
"R","RIE","Architectural metalworker","3"
"R","RIE","Armament fitter","3"
"R","RIE","Armature winder","3"
"R","RIE","Assayer","4"
"R","RIE","Automotive body repairer ","3"
"R","RIE","Automotive electrician","3"
"R","RIE","Automative mechanist","3"
"R","RIE","Automotive sheetmetal worker","3"
"R","RIE","Automotive trimmer","3"
"R","RIE","Boatbuilder land shipwright","3"
"R","RIE","Boilermaker","3"
"R","RIE","Bricklayer","3"
"R","RIE","Cabinetmaker","3"
"R","RIE","Carpenter","3"
"R","RIE","Chemical engineer","4"
